id,user_id,created,updated,accounting_reference,barcode,deleted,delivery,demo_mode,description,discountable,display_for_customers,eat_in,external_id,image,index,number,price,purchases,removable_ingredients,section_id,status,takeaway,title,trainee_mode,type,variable_price,vat,voucher,add_on_category_ids,printer_category_ids,standard_voucher_validity,manage_inventory,all_you_can_eat,all_you_can_eat_item_ids,all_you_can_eat_validity,section_id_menu,rating,votes,purchases_menu,price_menu,status_menu,type_menu,title_menu,index_menu,item_id,order_count,places
59837,423,1610874221,1719416473,,,0,1,0,"Burger with beyond meat patty, tomato, red onion, organic pickles, smoked cheese and homemade burger sauce",1,0,1,,,1,,110.0,30.0,,59827.0,Active,1,The Classic,0.0,Normal,0,25.0,0,61551|61554|61562|61571|61575|61580,,,0,0,,,,,,,,,,,,59837.0,8.0,1.0
59838,423,1610874348,1719416473,,,0,1,0,"Burger with baked portobello mushroom with garlic & thyme, roast aubergine, red onion marmelade, lightly pickled cucumbers, smoked cheese, lettuce and homemade green goddess sauce",1,0,1,,,2,,110.0,1.0,,59827.0,Active,1,The Rudimental,0.0,Normal,0,25.0,0,61551|61554|61562|61571|61575|61580,,,0,0,,,,,,,,,,,,59838.0,1.0,1.0
59839,423,1610874458,1719416473,,,0,1,0,"Burger with Celeriach (poached in stock), tomato chilli relish, lightly pickled cucumbers, fresh slaw, smoked cheese, lettuce and homemade green goddess sauce. Served with seasoned fries, fresh slaw with mint and your choice of double dip.",1,0,1,,,3,,110.0,1.0,,59827.0,Active,1,The Garden,0.0,Normal,0,25.0,0,61551|61554|61562|61571|61575|61580,,,0,0,,,,,,,,,,,,59839.0,1.0,1.0
59843,423,1610875050,1741152796,,,0,1,0,"Feeling hungry? Double patty, double cheese, double the sauce. Double the fun",1,0,1,,,4,1.0,150.0,6.0,,59827.0,Active,1,The Double,0.0,Normal,0,25.0,0,61566|61551|61554|61562|61571|61575|61580,,365.0,0,0,,,,,,,,,,,,59843.0,2.0,1.0
59856,423,1610875873,1719416473,,,0,1,0,,1,0,1,,,0,,25.0,0.0,,59834.0,Active,1,"Coca Cola 0,33 l",0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59857,423,1610875892,1719416452,,,0,1,0,,1,0,1,,,0,,25.0,0.0,,59834.0,Active,1,"Coca Cola Zero 0,33 l",0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59858,423,1610875914,1719416452,,,0,1,0,,1,0,1,,,0,,25.0,0.0,,59834.0,Active,1,"Still Water 0,5 l",0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59859,423,1610875957,1719416452,,,0,1,0,Danskevand,1,0,1,,,0,,25.0,8.0,,59834.0,Active,1,"San Pelegrino 0,25 l",0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,59859.0,1.0,1.0
59860,423,1610876067,1719416452,,,0,1,0,"Organic Vegan Red Wine,13% , 0,75l",1,0,1,,,0,,200.0,0.0,,59833.0,Active,1,Dominio Valor - Red,0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59861,423,1610876117,1719416452,,,0,1,0,"Organic Vegan White Wine, 11%, 0,75l",1,0,1,,,0,,200.0,0.0,,59833.0,Active,1,Dominio Valor - White,0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59862,423,1610876197,1719416452,,,0,1,0,Beer to match your meal. Chefs choice.,1,0,1,,,0,,35.0,2.0,,59832.0,Active,1,"Organic Pilsner 0,33 l",0.0,Normal,0,25.0,0,,,,0,0,,,,,,,,,,,,,,
59863,423,1610876322,1741152797,,,0,1,0,Homemade lemonade,1,0,1,,,0,1.0,35.0,3.0,,59831.0,Active,1,"Lemon, lime, Cucumber & Mint  (V,VG)",0.0,Normal,0,25.0,0,,,365.0,0,0,,,,,,,,,,,,59863.0,2.0,1.0
